stock price ,rate of return on total assets_ROA_A,net assets income rateA,operating profit ratio,Sales Margin rate,turnover of account receivableA,rate of stock turnoverA,velocity of liquid assetsA,turnover of total capitalA, liquidity ratio,quick ratio,asset-liability ratio,equity multiplier,Total Assets Growth RateA,net profit growth rateA,increase rate of business revenue,sustainable growth rate
22.38,0.08454,0.095571,0.242658,0.230967,3.408963,2.17514,0.572387,0.366024,7.470975,6.652524,0.115422,1.130482,0.07308,1.154934,0.234612,0.069942
7.01,0.032352,0.035382,0.07313,0.067436,3.72433,10.243052,0.842379,0.479746,8.661156,8.04548,0.085623,1.093641,0.016762,0.148907,0.162122,0.006892
9.72,0.014189,0.026832,0.02209,0.030152,3.725801,3.244611,1.00551,0.470598,1.034315,0.772905,0.47118,1.891001,0.436111,-0.535624,0.029317,0.027572
40.82,0.086615,0.091727,0.287365,0.285036,2.481698,1.500738,0.408555,0.303873,16.082877,14.14599,0.055732,1.059022,0.046565,1.10854,0.584051,0.042994
33.81,0.10768,0.118318,0.260702,0.268334,6.107903,3.653719,0.445152,0.401291,10.956936,10.318776,0.089914,1.098797,0.112359,-0.241533,-0.001209,0.033176
11.86,0.011834,0.015959,0.036213,0.036126,2.816247,1.572836,0.392682,0.327571,3.296616,2.637206,0.258497,1.348613,0.05415,-1.701701,0.006327,0.013982
8.54,0.050329,0.059223,0.104726,0.104469,5.295314,3.569213,0.619332,0.481762,5.345168,4.599248,0.150181,1.176721,0.002839,-0.345879,-0.198305,0.045211
19.77,0.07215,0.076967,0.178878,0.158016,4.193703,7.713863,0.585879,0.456601,13.854984,13.059614,0.06258,1.066757,-0.009117,-0.452257,-0.280416,0.004289
27.26,0.080166,0.114005,0.102044,0.080667,2.977503,5.579398,1.273969,0.993788,2.643125,2.156288,0.296816,1.422102,0.24552,-0.175034,0.087174,0.075094
5.73,0.02922,0.040241,0.080529,0.084728,2.346753,1.310514,0.454549,0.344869,2.840693,2.087233,0.273881,1.377185,0.215526,-0.924809,-0.008131,0.029633
12.13,0.049113,0.060965,0.077295,0.121513,2.516943,2.130647,0.436845,0.404182,4.955974,4.351466,0.194405,1.241318,0.100192,-0.21001,0.34466,0.058396
10.48,0.034493,0.06137,0.075667,0.061352,11.478089,1.210918,0.957321,0.562223,1.552752,0.616692,0.437946,1.77919,0.164409,-1.724567,0.130726,0.029594
13.36,-0.053799,-0.077834,-0.178923,-0.115504,2.851975,4.586451,0.753576,0.465776,2.085236,1.802641,0.308798,1.446754,0.1929,0.85134,-0.173543,-0.072213
7.91,0.06046,0.08429,0.047563,0.041209,6.099941,29.943984,1.930784,1.467134,3.097436,2.924184,0.282718,1.394152,0.05983,-0.954444,-0.138626,0.057543
23.78,0.007481,0.00922,0.014824,0.028246,1.454481,4.670442,0.429913,0.26486,3.266579,3.058594,0.188601,1.232439,0.150987,-3.412068,-0.052869,0.009306
15.49,0.046545,0.051091,0.201689,0.220464,1.256687,1.368526,0.256039,0.211125,10.404234,9.438241,0.088973,1.097663,0.08065,0.412951,0.543818,0.053842
9.52,0.040494,0.058663,0.043047,0.061533,13.908276,1.272382,1.069944,0.65809,2.090927,0.615699,0.309721,1.44869,0.277691,43.515074,0.489123,0.042392
25.14,0.071256,0.075066,0.315025,0.300199,2.219926,0.652505,0.286888,0.237364,16.302828,12.97946,0.05075,1.053464,0.020264,-0.703534,0.246343,0.064979
10.93,0.014658,0.016322,0.022341,0.061975,2.181151,1.764222,0.28558,0.236511,8.123356,7.176634,0.10195,1.113524,-0.011082,0.817532,-0.101264,0.016593
9.68,0.069799,0.087288,0.200038,0.184468,3.532868,1.298699,0.463856,0.378379,4.096425,3.110108,0.200364,1.250569,-0.036418,0.73511,-0.082626,0.073442
40.18,0.050639,0.071101,0.47231,0.419225,1.220745,0.324926,0.225214,0.120792,2.340802,2.14789,0.287781,1.404063,0.47994,0.470716,0.506365,0.060138
15.2,0.080159,0.087439,0.512567,0.437449,168.621613,137.538996,0.389256,0.183241,6.371485,6.366013,0.083262,1.090824,0.051721,-0.569829,-0.343643,0.06279
23.97,0.083064,0.106262,0.139657,0.11723,11.581839,3.288739,1.048362,0.708552,3.185994,2.537069,0.218312,1.279283,0.163029,0.025161,0.055835,0.096002
50.42,0.133202,0.145479,0.310987,0.262826,28.869962,1.864654,0.659638,0.506807,9.540602,8.304401,0.084388,1.092165,0.111162,-0.382966,-0.086627,0.083871
12.54,0.033735,0.03798,0.103896,0.072407,5.971217,3.656661,0.545492,0.465907,7.640963,6.855985,0.11178,1.125847,0.040263,0.965847,0.091555,0.019345
7.23,0.054833,0.057119,0.172997,0.153362,6.760752,4.265419,0.537339,0.357539,17.140664,15.832825,0.040018,1.041686,0.053315,-0.452313,-0.18312,0.043229
10.72,0.046407,0.049365,0.336104,0.294906,1.013327,2.08738,0.162534,0.157363,16.287365,15.687971,0.05992,1.063739,-0.02051,10.486836,1.431308,0.000549
16.99,0.048062,0.063991,0.083351,0.109388,2.027231,2.918692,0.731236,0.439372,2.652256,2.215728,0.248925,1.331424,0.203418,2.318618,0.929318,0.061543
